,full_address,ski_resort
98," P.O. Box 129, Lutsen Mountains, Minnesota",Lutsen Mountains
99,"200 Route 94, Vernon, New Jersey",Mountain Creek
100,"Po Box 247, Centennial, Wyoming",Snowy Range
101,"499 Mountain Road, Princeton, Massachusetts",Wachusett Mountain
102,"P.O. Box 19, Boyne Falls, Michigan",Boyne Mountain
103,"397 Brule Mountain Road, Iron River, Michigan",Ski Brule
104,"P.O. Box SKI, Marysville, Montana",Great Divide
105,"P.O. Box 190, Biwabik, Minnesota",Giants Ridge
106,"4850 VT Rte 242, Jay, Vermont",Jay Peak
107,"P.O. Box 1668, Wenatchee, Washington",Mission Ridge
108,"PO Box 168, Tannersville, Pennsylvania",Camelback Mountain
109,"P.O. Box B, Jackson, New Hampshire",Black Mountain
110,"P.O.  Box 1697, Nederland, Colorado",Eldora Mountain
111,"Box 475 Maverick Mountain Road, Polaris, Montana",Maverick Mountain
112,"P.O. Box 92, Neihart, Montana",Showdown
113,"PO Box 149, Tully, New York",Song Mountain
114,"5781 Mountain Rd., Stowe Mountain, Vermont",Stowe Mountain
115,"P.O.Box 1539, Blakeslee, Pennsylvania",Big Boulder
116,"15400 Buck Hill Road, Burnsville, Minnesota",Buck Hill
117,"12500 Crystal Mountain Drive, Thompsonville, Michigan",Crystal Mountain Michigan
118,"4763 Killington Road, Killington, Vermont",Killington
119,"One Shanty Creek Road, Bellaire, Michigan",Schuss Mountain
120,"4323 Vermont Route 108 South, Smugglers Notch, Vermont",Smugglers' Notch
121,"P.O. Box R, Jackson, New Hampshire",Wildcat Mountain
122,"5224 NM-518, Vadito, New Mexico",Sipapu Ski and Summer
123,"Route 302, Bretton Woods, New Hampshire",Bretton Woods
124,"500 Nub's Nob Road, Harbor Springs, Michigan",Nubs Nob
125,"3962 Wilkinson Road, Gaylord, Michigan",Treetops
126,"P.O. Box 77, Big Bear Lake, California",Bear Mountain
127,"1800 East K St., Casper, Wyoming",Hogadon
128,"37 Corey Rd., Hancock, Massachusetts",Jiminy Peak
129,"60 Loon Mountain Rd., Lincoln, New Hampshire",Loon Mountain
130,"1086 222nd Drive, Boone, Iowa",Seven Oaks
131,"P.O. Box 77, Big Bear Lake, California",Snow Summit
132,"5092 Access Road, Carrabassett Valley, Maine",Sugarloaf
133,"P.O. Box 279, Ellicottville, New York",Holimont
134,"P.O. Box 247, East Burke, Vermont",Burke Mountain
135,"119 Mountain Road, Bridgton, Maine",Pleasant
136,"PO Box 4500, Newry, Maine",Sunday River
137,"P.O. Box 155, Los Alamos, New Mexico",Pajarito Mountain
138,"P.O. Box 639 , Hillsdale, New York",Catamount Ski Ride Area
139,"P.O. Box 370, Ellicotville, New York",Holiday Valley
140,"P.O. Box 727, Charlemont, Massachusetts",Berkshire East
141,"5662 Route 64, Canandaigua, New York",Bristol Mountain
142,"99 Holiday Mountain Road, Monticello, New York",Holiday Mountain
143,"2725 Mariaville Road, Schenectady, New York",Maple Ski Ridge
144,"4763 Killington Road, Killington, Vermont",Pico Mountain
145,"1840 Sugarbush Access Road, Warren, Vermont",Sugarbush
146,"77 Okemo Mountain Ridge Road, Ludlow, Vermont",Okemo Mountain
147,"P.O. Box 470, North Creek, New York",Gore Mountain
148,"39 Mt. Snow Road, West Dover, Vermont",Mt. Snow
149,"215 Johnson Rd., Malone, New York",Titus Mountain
150,"PO Box 1130, Manchester Center, Vermont",Bromley Mountain
151,"P.O. Box 3010, Wrightwood, California",Mountain High
152,"P.O. Box 9, La Crosse, Wisconsin",Mt. La Crosse
153,"620 Ragged Mountain Road, Danbury, New Hampshire",Ragged Mountain
154,"PO Box 65, Greenwich, New York",Willard Mountain
155,"P.O. Box 219, Red River, New Mexico",Enchanted Forest
156,"P.O. Box 19, Cannonsburg, Michigan",Cannonsburg
157,"P.O. Box 540, Waterville Valley, New Hampshire",Waterville Valley
158,"Whiteface Mountain Mountain Route 86, Wilmington, New York",Whiteface Mountain
159,"777 Waterwheel Drive, Seven Springs, Pennsylvania",Seven Springs
160,"Box 215, Westernville, New York",Woods Valley
161,"P.O. Box 1640, North Conway, New Hampshire",Cranmore Mountain
162,"P.O. Box 313, Highmount, New York",Belleayre
163,"PO Box 1307, Laconia, New Hampshire",Gunstock
164,"P.O. Box 295, Hunter, New York",Hunter Mountain
165,"P.O. Box 1089, Waitsfield, Vermont",Mad River Glen
166,"469 Plattekill Mountain Mountain Road, Roxbury, New York",Plattekill Mountain
167,"RR #1 Box 145, Stratton Mountain Mountain, Vermont",Stratton Mountain
168,"HC 70 Box 488, Davis, West Virginia",Timberline Mountain
169,"59 West Mountain Rd., Glen Falls, New York",West Mountain
170,"Lac La Belle, Michigan, Michigan",Mt. Bohemia
171,"426 Forest Service Road, Highway 16, Tensleep, Wyoming",Meadowlark
172,"P.O. Box 396, Londonderry, Vermont",Magic Mountain Vermont
173,"P.O. Box 459, Mt. Baldy, California",Mt. Baldy
174,"1000 Montage Mountain Rd, 18507 Scranton, Pennsylvania",Montage Mountain
175,"P.O. Box 2021 Route 103, Newbury, New Hampshire",Mt. Sunapee
176,"P.O. Box 430, Greenville, Maine",Big Squaw Mountain Ski
177,"9001 Village Dr., Yosemite, California",Badger Pass
178,"6005 Forest View Rd., Lisle, Illinois",Four Lakes
179,"8800 Chalet Road, Bloomington, Minnesota",Hyland Ski
180,"P.O. Box 69, Crescent, Iowa",Mt. Crescent
181,"3072 State Highway 10, Caroga Lake, New York",Royal Mountain
182,"Box 127, Wabasha, Minnesota",Coffee Mill Ski Snowboard
183,"517 Court St., Neilsville, Wisconsin",Bruce Mound
184,"7015 Abbott Road, Anchorage, Alaska",Hilltop
