,city,state,ski_resort
151,Wrightwood,California,Mountain High
152,La Crosse,Wisconsin,Mt. La Crosse
153,Danbury,New Hampshire,Ragged Mountain
154,Greenwich,New York,Willard Mountain
155,Red River,New Mexico,Enchanted Forest
156,Cannonsburg,Michigan,Cannonsburg
157,Waterville Valley,New Hampshire,Waterville Valley
158,Wilmington,New York,Whiteface Mountain
159,Seven Springs,Pennsylvania,Seven Springs
160,Westernville,New York,Woods Valley
161,North Conway,New Hampshire,Cranmore Mountain
162,Highmount,New York,Belleayre
163,Laconia,New Hampshire,Gunstock
164,Hunter,New York,Hunter Mountain
165,Waitsfield,Vermont,Mad River Glen
166,Roxbury,New York,Plattekill Mountain
167,Stratton Mountain Mountain,Vermont,Stratton Mountain
168,Davis,West Virginia,Timberline Mountain
169,Glen Falls,New York,West Mountain
170,Michigan,Michigan,Mt. Bohemia
171,Tensleep,Wyoming,Meadowlark
172,Londonderry,Vermont,Magic Mountain Vermont
173,Mt. Baldy,California,Mt. Baldy
174,18507 Scranton,Pennsylvania,Montage Mountain
175,Newbury,New Hampshire,Mt. Sunapee
176,Greenville,Maine,Big Squaw Mountain Ski
177,Yosemite,California,Badger Pass
178,Lisle,Illinois,Four Lakes
179,Bloomington,Minnesota,Hyland Ski
180,Crescent,Iowa,Mt. Crescent
181,Caroga Lake,New York,Royal Mountain
182,Wabasha,Minnesota,Coffee Mill Ski Snowboard
183,Neilsville,Wisconsin,Bruce Mound
184,Anchorage,Alaska,Hilltop
185,01253 Otis,Massachusetts,Otis Ridge
186,Bartlett,New Hampshire,Attitash
187,Hastings,Minnesota,Afton Alps
188,Chesterland,Ohio,Alpine Valley Ohio
189,East Troy,Wisconsin,Alpine Valley Wisconsin
190,White Lake,Michigan,Alpine Valley Michigan
191,Jackson,Wyoming,Snow King
192,Kensington,Minnesota,Andes Tower Hills
193,Angel Fire,New Mexico,Angel Fire
194,Freeland,Michigan,Apple Mountain
195,Macungie,Pennsylvania,Bear Creek Mountain
196,Bessemer,Michigan,Big Powderhorn Mountain
197,Otsego,Michigan,Bittersweet
198,Blandford,Massachusetts,Blandford
199,Claysburg,Pennsylvania,Blue Knob
200,Palmerton,Pennsylvania,Blue Mountain
201,Peninsula,Ohio,Boston Mills and Brandywine
202,Pittsfield,Massachusetts,Bousquet
203,Harbor Springs,Michigan,Boyne Highlands
204,Bradford,Massachusetts,Bradford
206,Sodus,New York,Brantling Ski Slopes
207,Basye,Virginia,Bryce
208,Bemidji,Minnesota,Buena Vista
209,Great Barrington,Massachusetts,Ski Butternut
210,Cadillac,Michigan,Caberfae Peaks Ski Golf
211,Camden,Maine,Camden
212,Mahwah,New Jersey,Campgaw Mountain
213,Portage,Wisconsin,Cascade Mountain
214,Maggie Valley,North Carolina,Cataloochee
215,Galena,Illinois,Chestnut Mountain
216,Bruce,Wisconsin,Christie Mountain
217,Wisconsin Dells,Wisconsin,Christmas Mountain
218,Hanover,New Hampshire,Dartmouth Skiway
219,Merrimac,Wisconsin,Devils Head
220,Watertown,New York,Dry Hill
221,Hazelton,Pennsylvania,Eagle Rock
222,Juneau,Alaska,Eaglecrest
223,Union Dale,Pennsylvania,Elk Mountain Ski
224,Lake Geneva,Wisconsin,Grand Geneva
225,Cortland,New York,Greek Peak
226,Eureka,Missouri,Hidden Valley
227,Steamboat,Colorado,Howelsen Hill
228,Blakeslee,Pennsylvania,Jack Frost
229,Ririe,Idaho,Kelly Canyon
230,East Madison,New Hampshire,King Pine
231,Glenwood,New York,Kissing Bridge
232,Truxton,New York,Labrador Mt.
233,Auburn,Maine,Lost Valley
234,Bellefontaine,Ohio,Mad River Mountain
235,Twin Falls,Idaho,Magic Mountain Idaho
236,Marquette Mountain,Michigan,Marquette Mountain
237,Harrisonburg,Virginia,Massanutten
238,Old Forge,New York,McCauley Mountain
239,Cornwall,Connecticut,Mohawk Mountain
240,Greenwood,Maine,Mt. Abram Ski
241,Mankato,Minnesota,Mt. Kato
242,Southington,Connecticut,Mt. Southington
243,Brighton,Michigan,Mt. Brighton
244,Traverse City,Michigan,Mt. Holiday
245,Holly,Michigan,Mt. Holly
246,Lee,Maine,Mt. Jefferson
247,Warwick,New York,Mt. Peter
248,Westford,Massachusetts,Nashoba Valley
249,Stockton Springs,Maine,New Hermon Mountain
250,Wild Rose,Wisconsin,Nordic Mountain
251,Eden,Utah,Nordic Valley
252,Norway,Michigan,Norway Mountain
253,Gatlinburg,Tennessee,Ober Gatlinburg Ski
254,Paoli,Indiana,Paoli Peaks
255,Henniker,New Hampshire,Pats Peak
256,Findley Lake,New York,Peekn Peak
257,Lawrenceburg,Indiana,Perfect North Slopes
258,Iron Mountain,Michigan,Pine Mountain
259,Albion,Idaho,Pomerelle Mountain
260,Kimball,Minnesota,Powder Ridge Minnesota
261,Red River,New Mexico,Red River
262,Albuquerque,New Mexico,Sandia Peak
263,Cashiers,North Carolina,Sapphire Valley
264,Granby,Colorado,Granby Ranch
265,Ruidoso,New Mexico,Ski Apache
266,Banner  Elk,North Carolina,Ski Beech Mountain
267,Carroll Valley,Pennsylvania,Liberty
268,Lewisberry,Pennsylvania,Roundtop Mountain
269,Morris,Pennsylvania,Ski Sawmill
270,Andalusia,Illinois,Ski Snowstar
271,New Hartford,Connecticut,Ski Sundown
272,Windham,New York,Windham Mountain
273,Turin,New York,Snow Ridge
274,Harrison,Michigan,Snow Snake
275,Mansfield,Ohio,Snow Trails
276,Snowshoe Mountain,West Virginia,Snowshoe Mountain
277,Fairfield,Idaho,Soldier Mountain
278,Duluth,Minnesota,Spirit Mountain
279,Spring Mt.,Pennsylvania,Spring Mountain
280,Banner Elk,North Carolina,Sugar Mountain
281,Woodstock,Vermont,Saskadena Six
282,Kewaskum,Wisconsin,Sunburst
283,Dubuque,Iowa,Sundown Mountain
284,Greer,Arizona,Sunrise Park
285,Swain,New York,Swain
286,Jones,Michigan,Swiss Valley
287,Lead,South Dakota,Terry Peak
288,Choteau,Montana,Teton Pass
289,Hot Springs,Virginia,Omni Homestead
290,Glen Arbor,Michigan,The Homestead
291,Patterson,New York,Thunder Ridge
292,Gobles,Michigan,Timber Ridge
293,Fabius,New York,Toggenburg Mountain
294,Boalsburg,Pennsylvania,Tussey Mountain
295,Mt. Horeb,Wisconsin,Tyrol Basin
296,Bartlett,Illinois,Villa Olivia
297,Pinedale,Wyoming,White Pine
298,Upson,Wisconsin,Whitecap Mountain
299,Mercersburg,Pennsylvania,Whitetail
300,Wilmot,Wisconsin,Wilmot Mountain
301,Flat Top,West Virginia,Winterplace Ski
302,Wintergreen,Virginia,Wintergreen
303,McHenry,Maryland,Wisp
304,Mars Hill,North Carolina,Wolf Ridge Ski
305,Woodbury,Connecticut,Woodbury
306,Slocum,Rhode Island,Yawgoo Valley
307,Davis,West Virginia,Canaan Valley
308,Mt. Hood,Oregon,Cooper Spur
309,Canton,Massachusetts,Blue Hills
310,Lackawaxen,Pennsylvania,Big Bear
311,Weston,Missouri,Snow Creek
312,Bennington,New Hampshire,Crotched Mountain
313,Tamarack,Idaho,Tamarack
314,Weston,Oregon,Spout Springs
315,Orchard Park,New York,Buffalo Ski Club
316,Lead,South Dakota,Deer Mountain
317,Shrewsbury,Massachusetts,Ski Ward
