,user_name,ski_resort,rating
173,stevenam,Smugglers' Notch,4
174,Gunny J,Big Bear,4
175,Cherokee,Wisp,4
176,Dan Gibson,Ski Santa Fe,4
177,jim8588,Boyne Highlands,2
178,RippinSkiers,Vail,5
179,Bmorabito,Mammoth Mountain,4
180,Bmorabito,Kirkwood,5
181,Bmorabito,Mountain High,1
182,Richard 1,Alta,5
183,Richard 1,Snowbird,5
184,Richard 1,Brighton,4
185,Richard 1,Solitude Mountain,3
186,airgarden94,Cascade Mountain,5
187,Jay C,Attitash,4
188,hranee,Breckenridge,4
189,hranee,Vail,5
190,joey58242,Devils Head,5
191,Mike134,Big Powderhorn Mountain,5
192,tom travis,Jay Peak,4
193,tom travis,Stowe Mountain,5
194,tom travis,Killington,4
195,tom travis,Pico Mountain,4
196,tom travis,Sugarbush,5
197,tom travis,Elk Mountain Ski,5
198,anhillx,Alpental,4
199,anhillx,Crystal Mountain Washington,4
200,anhillx,Stevens Pass,2
201,jwtime,Ski Snowstar,5
202,bobbert,Snowbird,5
203,bobbert,Park City Mountain,2
204,bobbert,Winter Park,5
205,Jay C,Smugglers' Notch,3
206,Dan Gibson,Pajarito Mountain,3
207,noonito,Breckenridge,5
208,tsfoust,Palisades Tahoe,3
209,tsfoust,Kirkwood,3
210,tsfoust,Sierra at Tahoe,3
211,tsfoust,Northstar California,4
212,stevenam,Winter Park,3
213,anhillx,Telluride,5
214,airgarden94,Devils Head,4
215,Art Zinn,Belleayre,4
216,Mike134,Big Powderhorn Mountain,5
217,Dan Gibson,Angel Fire,4
218,steffenwolf,Wolf Creek,5
219,steffenwolf,Purgatory Mountain,4
220,steffenwolf,Winter Park,4
221,steffenwolf,Crested Butte Mountain,5
222,seniordude,Mammoth Mountain,4
223,Dan Gibson,Purgatory Mountain,4
224,Shartron,Arizona Snowbowl,3
225,Mikey Likes It,Bristol Mountain,4
226,Mikey Likes It,Hunter Mountain,4
227,Mikey Likes It,Snow Ridge,4
228,jim8588,Caberfae Peaks Ski Golf,4
229,Americansonofa,Canaan Valley,4
230,Randy Agness,Song Mountain,4
231,joey58242,Granite Peak,4
232,joey58242,Sunburst,3
233,joey58242,Sunburst,4
234,sno_thing,Granite Peak,5
235,sno_thing,Alpine Valley Wisconsin,4
236,sno_thing,Grand Geneva,1
237,sno_thing,Wilmot Mountain,3
238,steffenwolf,Taos Ski Valley,5
239,steffenwolf,Purgatory Mountain,4
240,steffenwolf,Angel Fire,3
241,steffenwolf,Angel Fire,3
242,steffenwolf,Red River,3
243,steffenwolf,Angel Fire,3
244,seniordude,Bear Valley,4
245,seniordude,Dodge Ridge,4
246,seniordude,Heavenly Mountain,4
247,sampanning,Telluride,5
248,sampanning,Crested Butte Mountain,2
249,Gunny J,Plattekill Mountain,5
250,Art Zinn,Plattekill Mountain,5
251,Gunny J,Mountain Creek,1
252,steep n deep ,Killington,5
253,steep n deep ,Gore Mountain,5
254,steep n deep ,Whiteface Mountain,5
255,steep n deep ,Woods Valley,2
256,steep n deep ,McCauley Mountain,5
257,steep n deep ,Snow Ridge,3
258,noonito,Elk Mountain Ski,4
259,Shartron,Snowbasin,4
260,Dan Gibson,Ski Santa Fe,5
261,Gunny J,Belleayre,5
262,jestertatt,49 Degrees North,4
263,jestertatt,Alyeska,3
264,jestertatt,Silver Mountain,5
265,Dantheman,Stowe Mountain,5
266,swissnowtiger,Palisades Tahoe,5
267,swissnowtiger,Donner Ski Ranch,4
268,swissnowtiger,Tahoe Donner,4
269,swissnowtiger,Dodge Ridge,4
270,swissnowtiger,Timberline Lodge,4
271,brandon,Wolf Creek,5
272,brandon,Purgatory Mountain,5
273,brandon,Sunrise Park,5
274,flyersboy114,Loon Mountain,4
275,Ritt,Berkshire East,4
276,Bob Butts,Stowe Mountain,4
277,sharimcatee,Dry Hill,5
278,iLiveToRide17,Hunter Mountain,4
279,iLiveToRide17,Mountain Creek,2
280,jim8588,Caberfae Peaks Ski Golf,4
281,bodibran,Grand Targhee,5
282,bodibran,Powder Mountain,4
283,bodibran,Pebble Creek,4
284,bodibran,Bogus Basin,3
285,bodibran,Tamarack,4
286,yodeledihoo,Wolf Creek,5
287,yodeledihoo,Taos Ski Valley,5
288,yodeledihoo,Ski Santa Fe,4
289,tourist from Texas,Powder Mountain,4
290,airgarden94,Tyrol Basin,4
291,p_nut,Winter Park,2
292,p_nut,Blue Mountain,4
293,highvoltageguy,Wolf Creek,4
294,highvoltageguy,Winter Park,4
295,highvoltageguy,Winter Park,5
296,highvoltageguy,Arapahoe Basin,5
297,highvoltageguy,Beaver Creek,4
298,highvoltageguy,Keystone,1
299,highvoltageguy,Vail,5
300,highvoltageguy,Aspen Snowmass,4
301,highvoltageguy,Copper Mountain,3
302,highvoltageguy,Breckenridge,5
303,highvoltageguy,Crested Butte Mountain,3
304,highvoltageguy,Vail,2
305,highvoltageguy,Loveland,4
306,masterdel,Monarch Mountain,5
307,govey80,Big Bear,2
308,govey80,Palisades Tahoe,5
309,govey80,Northstar California,4
310,govey80,Steamboat,5
311,Mike134,Big Powderhorn Mountain,4
312,horse,Telluride,5
313,fcherichel,Gunstock,5
314,fcherichel,Holiday Valley,5
315,mwolske,Granite Peak,5
316,mwolske,Devils Head,3
317,Jay C,Crotched Mountain,5
318,mayham2k,Cataloochee,4
319,mayham2k,Sugar Mountain,5
320,mayham2k,Sugar Mountain,3
321,Americansonofa,Snowshoe Mountain,4
322,p_nut,Belleayre,2
323,Jay C,Killington,5
324,Adye 1,Boyne Mountain,3
325,Adye 1,Nubs Nob,4
326,mwolske,Cascade Mountain,5
327,iLiveToRide17,Killington,4
328,MgoBlue,Sugar Mountain,2
329,MgoBlue,Snowshoe Mountain,4
330,jim8588,Nubs Nob,5
331,MgoBlue,Wintergreen,4
332,Randy Rogers,Willamette Pass,5
333,Randy Rogers,Hoodoo,2
