,full_address,ski_resort,latitude,longitude
70,"P.O. Box 236, Lakeshore, California",Ski China Peak,37.2530002,-119.1748429
71,"W13755  CTH O, Bruce, WI  54819",Christie Mountain,45.4569087,-91.2732106
72,"S-944 Christmas Mountain Road, Wisconsin Dells, Wisconsin",Christmas Mountain,43.6132067,-89.8663491
73,"Box 127, Wabasha, Minnesota",Coffee ll,44.3754518,-92.0236059
74,"P.O. Box 896, Leadville, Colorado",Ski Cooper,39.2508229,-106.2925238
75,"10755 Cooper Spur Road, Mount Hood, Oregon",Cooper Spur,45.4256246,-121.5908684
76,"P.O. Box 3001, Copper Mountain, Colorado",Copper Mountain,39.501419,-106.1516265
77,"P.O. Box 1640, North Conway, New Hampshire",Cranmore Mountain,44.0536805,-71.1284041
78,"P.O. Box 5700, Mt. Crested Butte, Colorado",Crested Butte Mountain,38.9121756,-106.9624239
79,"615 Francestown Road Route 47, Bennington, New Hampshire",Crotched Mountain,43.0119915,-71.87871919999999
80,"33914 Crystal Mtn Blvd., Crystal Mountain, Washington",Crystal Mountain Washington,46.947726,-121.473802
81,"12500 Crystal Mountain Drive, Thompsonville, Michigan",Crystal Mountain Michigan,44.5193916,-85.9909062
82,"DCAD Dartmouth College, Hanover, New Hampshire",Dartmouth Skiway,43.7044406,-72.2886934
83,"PO Box 622, Lead, South Dakota",Ski Mystic at Deer Mountain,44.3522065,-103.7651984
84,"P.O. Box 1525, Park City, Utah",Deer Valley,40.6460622,-111.4979729
85,"S-6330 Bluff Road, Merrim, Wisconsin",Devils Head,43.4192575,-89.62482430000001
86,"1210 Ski Way, Incline Village, Nevada",Diamond Peak,39.253817,-119.9237734
87,"PO Box 221, Anonda, Montana",Discovery,46.1262998,-112.9478359
88,"P.O. Box 1188, Pinecrest, California",Dodge Ridge,38.1923581,-119.9946131
89,"P.O. Box 66, Norden, California",Donner Ski Ranch,39.3173556,-120.354182
90,"P.O. Box 202, Watertown, New York",Dry Hill,43.9747838,-75.91075649999999
