,airport_3,ski_resort,distance_3
266379,Arctic Village,Holimont,4771.552308589216
806212,Portland Municipal,Hoodoo,3008.068772546732
296925,Wayne County,Howelsen Hill,2096.693381373228
1114,Perry-Warsaw,Hunt Hollow,48.883513351146945
57223,Grandfield Municipal,Hunter Mountain,2308.0664745932304
854688,Babelthoup/Koror,Hyland Ski Snowboard Area,12497.37584253467
31663,Brenham Municipal,Jack Frost,2224.2015683461923
939685,Gillespie County,Jackson Hole,1819.0242002257357
747121,Prague Municipal,Jay Peak,2297.0318676269076
117982,White Cloud,Jiminy Peak,1019.427761810816
500450,Grand Rapids-Itasca County,June Mountain,2329.119542904381
901175,Sanderson ,Kelly Canyon,972.474651520328
114336,Big Sandy,Keystone,1011.0869113096231
672429,Midland International,Killington,2868.695490460367
827806,Pine River Regional,King Pine,1842.3449665869516
765059,Nogales International,Kirkwood,1165.4036027622094
202984,Smithville Municipal,Kissing Bridge,2161.3467550805863
702977,Hamilton Municipal,Labrador Mt.,2301.7512551739046
572834,Imperial Municipal,Lee Canyon,1277.294303606249
358695,Chatham Municipal,Liberty,657.9059502679443
666128,Woodruff County,Little Switzerland,932.9377760842784
805901,Clinton Cty,Lookout Pass,3239.9117052710467
827814,Pine River Regional,Loon Mountain,1795.3518824417727
899195,Stuttgart Municipal,Lost Trail Powder Mountain,2278.257633204719
250800,Corona Municipal,Lost Valley,4186.004114991596
114349,Big Sandy,Loveland,1004.1490825864119
389246,Duluth International,Lutsen Mountains,145.44191697041734
672444,Midland International,Mad River Glen,2891.5910523423377
519059,Hobart Municipal,Mad River Mountain,1469.68122457191
716455,Montauk,Magic Mountain,249.92413901846837
898870,South St.Paul Municipal,Magic Mountain Idaho,1737.8290540206344
716269,Montauk,Magic Mountain Vermont,249.92413901846837
500471,Grand Rapids-Itasca County,Mammoth Mountain,2330.0683851315016
234540,Abilene Regional,Maple Ski Ridge,2524.2546050026394
535665,Memorial ,Marquette Mountain,1420.1999552421507
709302,Telfair-Wheeler,Massanutten,794.6004990495289
842103,Ruby,Maverick Mountain,3340.647917453164
160508,Hillsboro Municipal,McCauley Mountain Ski Center,1761.0682354638093
878625,Anderson ,Meadowlark,1047.487284709915
389033,Dillingham,Mission Ridge,2799.4892871230704
111374,Illinois Valley,Mohawk Mountain,4100.408390077889
56263,Woodbine Muni ,Monarch Mountain,2713.580008733044
245836,Amery Municipal,Mont Ripley,358.47231077398664
206994,Rangeley Municipal,Montana Snowbowl,3314.7235355344956
347763,Easterwood ,Mount Holly,1772.0660770996217
216956,Bamburg County,Mount Kato,1641.6107270916098
161514,Nondalton,Mount Pleasant,5284.952567281721
31706,Brenham Municipal,Mountain Creek,2311.03796102079
576519,Lincoln County,Mountain High,3308.588590644656
250828,Corona Municipal,Mt. Abram Ski,4147.225045535641
835481,Springer Municipal,Mt. Ashland,1684.2909799390816
806423,Portland Municipal,Mt. Bachelor,2991.855153604025
171814,Wrangell SPB,Mt. Baker,1085.9430839980034
711647,Morganton-Lenoir,Mt. Baldy,3268.5172695614297
806268,Portland Municipal,Mt. Bhelor,2991.855153604025
