Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
Chestnut Mountain,P.O. Box 6328,61036 Galena,Illinois,United States,1040,475,565,0,0,0,2,4,0,4,139,0.2,87,50,November 26 2023,April 03 2024,0.1,9,12,15,5,0,0,459,459,459,40,45,40,45,60,45,0,0,https://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,0,0,0
Ski China Peak,P.O. Box 236,93634 Lakeshore,California,United States,8709,1679,7030,0,0,0,1,4,2,4,150,2.2,140,300,November 11 2023,April 14 2024,5,43,66,41,38,7,0,239,429,639,589,34,56,83,71,34,56,83,https://www.onthesnow.com/california/ski-china-peak/ski-resort.html,0,0,0
Christie Mountain,W13755  CTH O,54819 Bruce,WI  54819,United States,1650,350,1300,0,0,0,0,0,1,5,41,0.8,92,48,December 09 2023,April 07 2024,0.5,14,8,9,3,0,0,425,37,42,0,0,0,0,0,0,0,0,https://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,0,0,0
Christmas Mountain,S-944 Christmas Mountain Road,53965 Wisconsin Dells,Wisconsin,United States,1250,250,1000,0,0,0,1,0,0,2,40,0.4,75,20,December 24 2023,March 10 2024,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,0,0,Check ticket prices.
Coffee Mill,Box 127,55981 Wabasha,Minnesota,United States,1150,425,725,0,0,0,0,0,2,1,35,1,57,48,December 18 2023,March 13 2024,0.2,2,4,3,2,0,0,300,375,23,23,20,30,37,20,0,0,0,https://www.onthesnow.com/Minnesota/coffee-ll-ski-snowboard-resort/ski-resort.html,0,0,0
Ski Cooper,P.O. Box 896,80461 Leadville,Colorado,United States,11700,1200,10500,0,0,0,0,1,1,3,480,1.4,126,260,December 06 2023,April 14 2024,8,38,44,39,48,14,0.5,10,249,529,10,0,60,80,0,0,60,80,https://www.onthesnow.com/colorado/ski-cooper/ski-resort.html,0,Check terrain information.,0
Cooper Spur,10755 Cooper Spur Road,97041 Mount Hood,Oregon,United States,4000,350,3500,0,0,0,0,0,1,1,50,0.1,78,100,December 17 2023,March 19 2024,0.4,15,10,11,6,0,0,179,229,10,32,39,32,10,32,39,32,0,https://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,0,Check terrain information.,0
Copper Mountain,P.O. Box 3001,80443 Copper Mountain,Colorado,United States,12313,2738,9712,1,4,2,0,4,4,9,364,1.7,153,300,November 13 2023,May 05 2024,26,46,46,43,51,29,0,349,489,749,99,129,124,179,0,0,0,0,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,0,0,0
Cranmore Mountain,P.O. Box 1640,03860 North Conway,New Hampshire,United States,2000,1200,600,0,1,0,1,2,1,3,192,1,107,150,November 24 2023,April 07 2024,0.9,21,20,28,14,2,0,689,805,1325,42,54,69,45,0,0,0,0,https://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,0,0,0
Crested Butte Mountain,P.O. Box 5700,81225 Mt. Crested Butte,Colorado,United States,12162,3062,9375,0,4,0,2,2,1,5,297,2.6,145,234,November 22 2023,April 07 2024,14,55,50,44,41,5,0,439,859,86,149,125,96,165,139,170,294,246,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,0,0,0
