ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
Big Boulder,P.O.Box 1539,18610 Blakeslee,Pennsylvania,United States,2175,600,1700,,,,,2,5,1,16,,55 ac,55 ac,Check terrain information.,76,"50""",26-Dec-23,19-Mar-24,"0""","6""","8""","12""","9""",,,899,"1,129.00",10,35,50,35,10,49,65,49,,https://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html,,38%,19%,44%,,
Big Powderhorn Mountain,N11375 Powderhorn Road,49911 Bessemer,Michigan,United States,1800,600,1200,,,,,,9,1,45,1 mi,253 ac,228 ac,,100,"214""",22-Dec-23,1-Apr-24,"0.4""","16""","28""","28""","11""","1""","0""",129,379,479,379,44,56,69,56,44,56,69,https://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html,,27%,40%,31%,2%,
Big Sky,P.O. Box 160001,59716-0001 Big Sky,Montana,United States,11166,4350,7500,1,5,2,3,7,5,12,317,6 mi,5800 ac,400 ac,,144,"400""",22-Nov-23,21-Apr-24,"17""","60""","47""","57""","56""","34""","0""",699,949,"1,869.00","1,769.00",1,106,152,146,1,113,194,https://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,,15%,25%,42%,18%,
Big Squaw,P.O. Box 430,04441 Greenville,Maine,United States,3200,660,1750,,,,,1,,1,29,0.8 mi,,,Check terrain information.,67,"0""",26-Dec-23,9-Apr-24,"0""","3""","9""","7""","3""",,,100,375,520,425,0,25,30,0,0,25,30,https://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html,,,,,,
Bittersweet,600 River Road,49078 Otsego,Michigan,United States,850,350,450,,,,1,6,,4,20,0.2 mi,100 ac,100 ac,Check terrain information.,80,"90""",22-Nov-23,17-Mar-24,"1""","6""","15""","15""","4""","0""",,290,350,440,390,19,38,24,48,,,,https://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html,,39%,39%,22%,,
Black Mountain,P.O. Box B,03846 Jackson,New Hampshire,United States,2350,1100,1250,,,,,1,1,3,69,1.6 mi,143 ac,120 ac,,110,"125""",26-Dec-23,24-Mar-24,"0""","11""","23""","29""","15""","1""",,449,499,599,399,0,35,45,35,0,42,59,https://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html,,29%,35%,23%,13%,
Black River,North 11251 Blackjack Road,49911 Bessemer,Michigan,United States,850,465,385,,,,,,4,2,26,1 mi,170 ac,86 ac,,95,"210""",24-Nov-23,14-Apr-24,"11""","31""","30""","26""","16""","3""","0""",100,375,520,425,,,,,,,,https://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html,,16%,32%,44%,8%,
Blacktail Mountain,Box 1090,59922 Lakeside,Montana,United States,6676,1440,5236,,,,,1,2,1,27,0.7 mi,1000 ac,,Check terrain information.,N.A.,"250""",10-Dec-22,16-Apr-23,"1""","28""","38""","41""","30""","6""","0""",140,330,485,130,22,32,45,22,22,32,45,https://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html,,,,,,
Blandford,PO Box 158,01008 Blandford,Massachusetts,United States,1685,465,1035,,,,,,3,2,29,0.5 mi,132 ac,70 ac,Check terrain information.,N.A.,"50""",15-Dec-23,8-Mar-24,"0""",,"6""","9""","0.9""",,,15,20,20,15,20,35,45,20,,,,https://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html,,,,,,
Blue Hills,4001 Washington St,02021 Canton,Massachusetts,United States,635,309,326,,,,,,1,3,16,,60 ac,60 ac,Check terrain information.,N.A.,"0""",27-Dec-23,17-Mar-24,"0""","0.5""","9""","10""","1""",,,429,179,40,45,,,,,,,,https://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html,,50%,19%,31%,,
Blue Knob,PO Box 247,16625 Claysburg,PA 16625,United States,3146,1072,2074,,,,,2,2,2,34,2 mi,400 ac,84 ac,,87,"120""",21-Dec-23,26-Mar-24,"0""","12""","26""","26""","12""","0.2""",,375,435,699,435,0,38,43,38,0,63,68,https://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html,,15%,41%,26%,18%,
Blue Mountain,PO Box 216,18071 Palmerton,Pennsylvania,United States,1600,1082,460,,1,1,1,1,3,9,40,1.2 mi,171 ac,164 ac,,122,"33""",2-Dec-23,24-Mar-24,"0.1""","9""","12""","15""","8""","0.5""","0""",799,799,55,65,,,,,,,,https://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html,,40%,15%,35%,10%,
Bluewood,PO Box 88,99328 Dayton,Washington,United States,5670,1125,4545,,,,,2,,1,26,2 mi,355 ac,,Check terrain information.,70,"300""",7-Dec-22,16-Apr-23,"4""","37""","52""","48""","20""","3""","0""",49,599,699,599,0,35,42,35,0,40,47,https://www.onthesnow.com/washington/bluewood/ski-resort.html,,,,,,
Bogus Basin,2600 Bogus Basin Rd.,83702 Boise,Idaho,United States,7582,1800,5800,,4,,,,3,3,89,1.5 mi,2600 ac,75 ac,,148,"250""",18-Nov-23,4-May-24,"5""","35""","38""","36""","33""","7""","0""",39,169,549,369,27,49,69,47,27,49,69,https://www.onthesnow.com/idaho/bogus-basin/ski-resort.html,,10%,44%,36%,10%,
Bolton Valley,4302 Bolton Access Rd,05477 Bolton,Vermont,United States,3150,1704,1446,,,,2,,3,1,71,0.6 mi,300 ac,90 ac,,133,"300""",24-Nov-23,7-Apr-24,"1""","29""","44""","53""","46""","5""","0""",29,379,779,379,0,54,69,54,0,64,79,https://www.onthesnow.com/vermont/bolton-valley/ski-resort.html,,34%,38%,23%,6%,
Boreal,P.O. Box 39,96161 Truckee,CA 96160,United States,7700,500,7200,,1,,1,3,1,2,34,1 mi,380 ac,200 ac,Check terrain information.,150,"400""",10-Nov-23,21-Apr-24,"20""","83""","73""","55""","59""","20""","0""",309,399,549,169,39,39,49,39,,,,https://www.onthesnow.com/california/boreal/ski-resort.html,,26%,29%,44%,,
Boston Mills and Brandywine,P.O. Box 175,44264-0175 Peninsula,Ohio,United States,871,264,631,,,,1,5,1,1,6,0.3 mi,40 ac,40 ac,Check terrain information.,92,"51""",23-Dec-23,17-Mar-24,"0""","2""","13""","11""","2""",,,244,305,95,11,39,44,11,11,39,44,11,https://www.onthesnow.com/ohio/boston-mills/ski-resort.html,,17%,33%,50%,,
Bousquet,Dan Fox Dr.,01201 Pittsfield,Massachusetts,United States,1875,750,1125,,,,,,,2,22,1 mi,200 ac,98 ac,,N.A.,"83""",24-Nov-23,7-Apr-24,"0""","5""","7""","9""","2""",,,0,399,529,399,20,25,25,30,49,42,,https://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html,,9%,26%,22%,43%,
Boyne Mountain,P.O. Box 19,49713 Boyne Falls,Michigan,United States,1120,500,620,,,1,4,3,2,2,63,1 mi,415 ac,380 ac,,122,"140""",24-Nov-23,16-Apr-24,"3""","28""","37""","28""","13""","7""","0""",399,949,609,,,,,,,,,https://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html,,49%,27%,21%,3%,
Bradford,P.O. Box 99,01835 Bradford,Massachusetts,United States,1548,248,1300,,,,,2,,8,15,0.3 mi,48 ac,48 ac,Check terrain information.,N.A.,"0""",27-Dec-23,17-Mar-24,"0""","0.8""","3""","9""",,,,665,37,55,,,,,,,,,https://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html,,10%,80%,10%,,
Brandywine,PO Box 175,44264 Peninsula,Ohio,United States,871,240,631,,,,3,1,,4,9,0.3 mi,85 ac,85 ac,Check terrain information.,92,"51""",23-Dec-23,17-Mar-24,"0""","2""","11""","12""","2""",,,244,305,95,11,39,44,11,11,39,44,11,https://www.onthesnow.com/ohio/brandywine/ski-resort.html,,33%,33%,33%,,
Brantling Ski,4015 Fish Farm Road,14551 Sodus,New York,United States,850,250,600,,,,,,,5,10,0.1 mi,20 ac,16 ac,Check terrain information.,N.A.,"110""",25-Dec-23,24-Mar-24,"0""","3""","8""","9""","1""",,,330,360,240,22,29,32,22,22,29,32,22,https://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html,,,,,,
Breckenridge,P.O. Box 1058,80424 Breckenridge,Colorado,United States,12998,3398,9600,1,7,5,,1,6,15,187,3.5 mi,2908 ac,600 ac,,204,"300""",11-Nov-22,21-May-23,"30""","59""","57""","54""","59""","36""","7""",439,859,97,149,139,116,179,169,,,,https://www.onthesnow.com/colorado/breckenridge/ski-resort.html,,13%,23%,36%,28%,
Bretton Woods,Route 302,03575 Bretton Woods,New Hampshire,United States,3100,1500,1600,1,4,,1,1,,3,98,2 mi,467 ac,344 ac,,180,"200""",18-Nov-23,7-Apr-24,"12""","33""","36""","40""","28""","5""","0""",30,519,"1,155.00",915,60,79,105,40,70,89,129,https://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html,,23%,30%,33%,14%,
Brian Head,P.O. Box 190008,84719 Brian Head,Utah,United States,10970,1548,9600,,2,,,5,1,,71,0.6 mi,650 ac,216 ac,Check terrain information.,149,"360""",3-Nov-23,5-May-24,"9""","52""","44""","54""","53""","9""","0""",525,625,899,675,30,42,30,43,59,43,35,https://www.onthesnow.com/utah/brian-head-resort/ski-resort.html,Check gondola information.,,,,,
Bridger Bowl,15795 Bridger Canyon Rd.,59715 Bozeman,Montana,United States,8700,2600,6100,,,,1,6,1,3,105,1.5 mi,2000 ac,100 ac,,122,"300""",9-Dec-23,7-Apr-24,"4""","46""","48""","63""","38""","9""","0""",375,520,"1,000.00",450,60,85,40,60,85,40,-,https://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,,12%,28%,18%,42%,
Brighton,12601 Big Cottonwood Canyon Rd,84121 Brighton,Utah,United States,10500,1745,8755,,4,,1,1,,2,65,1.2 mi,1050 ac,200 ac,Check terrain information.,138,"500""",11-Nov-22,29-May-23,"25""","84""","99""","82""","79""","37""","0.2""",129,419,899,629,0,53,85,57,0,53,85,https://www.onthesnow.com/utah/brighton-resort/ski-resort.html,,,,,,
Bristol Mountain,5662 Route 64,14424 Canandaigua,New York,United States,2200,1200,1000,,2,,1,1,1,1,39,2 mi,160 ac,148 ac,Check terrain information.,129,"60""",15-Nov-23,7-Apr-24,"0.5""","9""","10""","19""","11""","0.3""","0""",0,895,695,0,53,65,53,0,59,76,59,https://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,,,,,,
Bromley Mountain,PO Box 1130,05255 Manchester Center,Vermont,United States,3284,1334,1950,,1,,1,,4,3,47,2.5 mi,178 ac,153 ac,,N.A.,"168""",9-Dec-23,7-Apr-24,"3""","31""","27""","39""","27""","2""","0""",789,975,"1,129.00",629,67,81,92,81,71,85,96,https://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,,30%,36%,32%,2%,
Bruce Mound,517 Court St.,54754 Neilsville,Wisconsin,United States,1375,375,1000,,,,,1,,4,12,0.5 mi,40 ac,30 ac,,42,"42""",17-Dec-23,17-Mar-24,"0""","4""","4""","3""","0.3""",,,95,185,220,220,15,30,33,11,22,25,,https://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html,,17%,17%,50%,16%,
Brundage Mountain,P.O. Box 1062,83638 McCall,Idaho,United States,7803,1921,5882,,1,,,4,,1,70,3.2 mi,1920 ac,2 ac,,126,"320""",13-Dec-23,7-Apr-24,"16""","65""","48""","55""","33""","8""","0""",299,399,799,449,33,50,78,50,33,50,78,https://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html,,23%,31%,20%,26%,
Bryce,P.O. Box 3,22810 Basye,Virginia,United States,1750,500,1250,,,,1,,1,2,8,0.4 mi,25 ac,25 ac,Check terrain information.,100,"30""",17-Dec-23,19-Mar-24,"0.3""","3""","7""","7""","4""","0""",,350,38,43,38,60,68,60,,,,,https://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,,38%,50%,13%,,
Buck Hill,15400 Buck Hill Road,55306 Burnsville,Minnesota,United States,1225,309,919,,,,2,1,,7,16,0.2 mi,45 ac,45 ac,Check terrain information.,115,"60""",22-Nov-23,1-Apr-24,"0""","1""","2""","2""","3""","0.8""",,339,439,339,28,34,28,34,47,34,,,https://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,,,,,,
Buena Vista,621 Lake Julia Drive NW,56601 Bemidji,Minnesota,United States,1510,230,1280,,,,,2,2,2,17,0.3 mi,30 ac,30 ac,Check terrain information.,57,"78""",26-Nov-23,17-Mar-24,"0.2""","6""","4""","7""","0.9""","0""",,315,365,34,44,34,44,,,,,,https://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,,,,,,
Buffalo Ski Club,P.O. Box 608,14033 Orchard Park,New York,United States,3429,500,2025,,,,,,2,4,43,,225 ac,150 ac,Check terrain information.,N.A.,"0""",31-Dec-23,26-Mar-24,"0""","4""","23""","19""","5""",,,500,25,35,25,39,50,39,,,,,https://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,,,,,,
Burke Mountain,P.O. Box 247,05832 East Burke,Vermont,United States,3267,2011,1210,,2,,,,,2,54,2.2 mi,178 ac,125 ac,,110,"178""",25-Nov-23,7-Apr-24,"0.8""","26""","35""","39""","30""","4""","0""",40,489,839,549,0,62,89,62,0,62,89,https://www.onthesnow.com/vermont/burke-mountain/ski-resort.html,,8%,48%,33%,12%,
Caberfae Peaks Ski Golf,Caberfae Road,49601 Cadillac,Michigan,United States,1569,485,1060,,,,1,3,,1,30,1.2 mi,200 ac,200 ac,,118,"140""",25-Nov-23,26-Mar-24,"2""","22""","32""","23""","11""","0.5""","0""",30,249,5,29,39,20,5,39,49,25,,https://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,,33%,33%,30%,3%,
Camden,PO Box 1207,04843 Camden,Maine,United States,1080,850,150,,,,,1,1,1,20,1 mi,100 ac,48 ac,Check terrain information.,68,"69""",26-Dec-23,26-Mar-24,"0""","4""","16""","19""","4""",,,75,459,75,6,27,35,27,10,38,45,38,https://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html,,20%,70%,10%,,
Camelback Mountain,PO Box 168,18372 Tannersville,Pennsylvania,United States,2100,800,1250,,2,,,3,5,6,39,1 mi,166 ac,166 ac,Check terrain information.,100,"50""",16-Dec-23,2-Apr-24,"0""","7""","12""","14""","15""","0.4""",,499,699,0,45,55,45,0,50,70,50,,https://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html,,,,,,
Campgaw Mountain,200 Campgaw Rd.,07430 Mahwah,New Jersey,United States,726,274,450,,,,,,2,3,12,0.3 mi,23 ac,23 ac,,80,"45""",27-Dec-23,26-Mar-24,"0""","1""","3""","8""","6""",,,289,349,349,,,,,,,,,https://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,,33%,33%,25%,8%,
Canaan Valley,HC 70 Box 330,26260 Davis,West Virginia,United States,4280,850,3430,,,,1,2,,1,47,1.2 mi,95 ac,75 ac,,N.A.,"160""",16-Dec-23,10-Mar-24,"0.6""","8""","30""","30""","10""","0""",,300,450,300,0,29,52,29,0,44,68,44,https://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,,19%,36%,43%,2%,
Cannon Mountain,Franconia Notch State Park,03580 Franconia,New Hampshire,United States,4080,2180,1900,1,1,,2,3,1,2,97,2.3 mi,285 ac,192 ac,Check terrain information.,124,"160""",2-Dec-23,14-Apr-24,"4""","30""","35""","42""","29""","7""","0""",489,559,859,559,76,91,104,81,76,91,104,https://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,,14%,53%,33%,,
Cannonsburg,P.O. Box 19,49317 Cannonsburg,Michigan,United States,1100,250,850,,,,1,1,1,7,22,0.1 mi,100 ac,,,100,"100""",26-Dec-23,20-Mar-24,"0.1""","2""","7""","5""","0.8""","0""",,259,0,22,30,0,27,37,,,,,https://www.onthesnow.com/michigan/cannonsburg/ski-resort.html,,35%,50%,15%,-,
Cascade Mountain,W10441 Cascade Mtn. Rd.,53901 Portage,Wisconsin,United States,1280,460,820,,2,,2,2,2,3,48,1.1 mi,175 ac,175 ac,,120,"56""",26-Nov-23,17-Mar-24,"0.1""","9""","12""","12""","5""","0""",,159,487,609,487,,,,,,,,https://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,,38%,40%,,21%,
Cataloochee,1080 Ski Lodge Road,28751 Maggie Valley,North Carolina,United States,5400,740,4660,,,,1,1,1,2,18,1 mi,50 ac,50 ac,,141,"50""",20-Nov-23,1-Mar-24,"1""","5""","9""","5""","2""","0""",,760,0,33,43,0,0,52,70,0,,,https://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,,44%,39%,,17%,
Catamount Ski Ride Area,P.O. Box 639 ,12529 Hillsdale,New York,United States,2000,1000,1000,,,,2,3,,3,44,2 mi,133 ac,130 ac,,100,"108""",15-Dec-23,2-Apr-24,"0""","6""","12""","18""","13""","0.1""",,0,589,699,589,17,32,38,32,30,58,69,https://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,,36%,40%,14%,10%,
Chestnut Mountain,P.O. Box 6328,61036 Galena,Illinois,United States,1040,475,565,,,,2,4,,4,19,0.2 mi,139 ac,139 ac,Check terrain information.,87,"50""",26-Nov-23,3-Apr-24,"0.1""","9""","12""","15""","5""","0""",,459,459,459,40,45,40,45,60,45,,,https://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,,26%,58%,16%,,
Ski China Peak,P.O. Box 236,93634 Lakeshore,California,United States,8709,1679,7030,,,,1,4,2,4,52,2.2 mi,1400 ac,150 ac,Check terrain information.,140,"300""",11-Nov-23,14-Apr-24,"5""","43""","66""","41""","38""","7""","0""",239,429,639,589,34,56,83,71,34,56,83,https://www.onthesnow.com/california/ski-china-peak/ski-resort.html,,,,,,
Christie Mountain,W13755  CTH O,54819 Bruce,WI  54819,United States,1650,350,1300,,,,,,1,5,33,0.8 mi,45 ac,41 ac,,92,"48""",9-Dec-23,7-Apr-24,"0.5""","14""","8""","9""","3""","0""",,425,37,42,,,,,,,,,https://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,,33%,24%,30%,12%,
Christmas Mountain,S-944 Christmas Mountain Road,53965 Wisconsin Dells,Wisconsin,United States,1250,250,1000,,,,1,,,2,16,0.4 mi,40 ac,40 ac,Check terrain information.,75,"20""",24-Dec-23,10-Mar-24,"0""","3""","2""","3""","2""",,,,,,,,,,,,,,https://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,,,,,,Check ticket prices.
Coffee ll,Box 127,55981 Wabasha,Minnesota,United States,1150,425,725,,,,,,2,1,14,1 mi,40 ac,35 ac,Check terrain information.,57,"48""",18-Dec-23,13-Mar-24,"0.2""","2""","4""","3""","2""","0""",,300,375,23,23,20,30,37,20,,,,https://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html,,35%,29%,7%,,
Ski Cooper,P.O. Box 896,80461 Leadville,Colorado,United States,11700,1200,10500,,,,,1,1,3,64,1.4 mi,480 ac,,,126,"260""",6-Dec-23,14-Apr-24,"8""","38""","44""","39""","48""","14""","0.5""",10,249,529,10,0,60,80,0,0,60,80,https://www.onthesnow.com/colorado/ski-cooper/ski-resort.html,,19%,27%,28%,27%,
Cooper Spur,10755 Cooper Spur Road,97041 Mount Hood,Oregon,United States,4000,350,3500,,,,,,1,1,10,0.1 mi,50 ac,,Check terrain information.,78,"100""",17-Dec-23,19-Mar-24,"0.4""","15""","10""","11""","6""","0""",,179,229,10,32,39,32,10,32,39,32,,https://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,,40%,60%,,,
Copper Mountain,P.O. Box 3001,80443 Copper Mountain,Colorado,United States,12313,2738,9712,1,4,2,,4,4,9,150,1.7 mi,2527 ac,364 ac,,153,"300""",13-Nov-23,5-May-24,"26""","46""","46""","43""","51""","29""","0""",349,489,749,99,129,124,179,,,,,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,,25%,24%,34%,17%,
Cranmore Mountain,P.O. Box 1640,03860 North Conway,New Hampshire,United States,2000,1200,600,,1,,1,2,1,3,57,1 mi,200 ac,192 ac,Check terrain information.,107,"150""",24-Nov-23,7-Apr-24,"0.9""","21""","20""","28""","14""","2""","0""",689,805,"1,325.00",42,54,69,45,,,,,https://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,,,,,,
Crested Butte Mountain,P.O. Box 5700,81225 Mt. Crested Butte,Colorado,United States,12162,3062,9375,,4,,2,2,1,5,121,2.6 mi,1547 ac,297 ac,,145,"234""",22-Nov-23,7-Apr-24,"14""","55""","50""","44""","41""","5""","0""",439,859,86,149,125,96,165,139,170,294,246,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,,14%,25%,25%,36%,
Crotched Mountain,"615 Francestown Road, Route 47",03442 Bennington,New Hampshire,United States,2066,1016,1050,,1,,1,1,1,1,25,1.2 mi,100 ac,100 ac,Check terrain information.,105,"105""",8-Dec-23,24-Mar-24,"0""","15""","15""","23""","13""","1""",,439,859,10,46,55,46,10,59,69,59,10,https://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,,26%,35%,39%,,
Crystal Mountain Washington,33914 Crystal Mtn Blvd.,98022 Crystal Mountain,Washington,United States,7012,3100,4400,1,2,2,1,2,2,1,85,2.5 mi,2600 ac,10 ac,,N.A.,"486""",18-Nov-22,21-May-23,"26""","108""","88""","83""","62""","44""","4""",389,879,"1,179.00",0,69,99,29,0,69,99,29,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort.html,,8%,31%,32%,29%,
Crystal Mountain Michigan,12500 Crystal Mountain Drive,49683 Thompsonville,Michigan,United States,1132,375,757,,1,,3,2,,2,59,0.3 mi,102 ac,96 ac,Check terrain information.,108,"132""",24-Nov-23,7-Apr-24,"5""","33""","43""","28""","12""","0.5""","0""",15,499,599,549,0,79,89,84,-,79,89,https://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,,27%,46%,27%,,
Dartmouth Skiway,DCAD Dartmouth College,03755 Hanover,New Hampshire,United States,1943,969,974,,,,1,,1,2,28,1.1 mi,107 ac,54 ac,,104,"100""",22-Dec-23,2-Apr-24,"0""","6""","17""","22""","13""","0.2""",,0,404,539,404,35,40,50,35,35,40,50,https://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html,,21%,50%,25%,4%,
Ski Mystic at Deer Mountain,PO Box 622,57754 Lead,South Dakota,United States,6850,940,6040,,,,,1,1,2,63,1.6 mi,500 ac,50 ac,Check terrain information.,69,"200""",13-Dec-25,31-Mar-26,"0.6""","6""","6""","6""","3""","0""",,36,45,5,36,45,5,32,39,5,,,https://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html,,29%,48%,24%,,
Deer Valley,P.O. Box 1525,84060 Park City,Utah,United States,9570,3000,6570,1,13,,,5,2,,103,2.8 mi,2026 ac,660 ac,,N.A.,"300""",28-Nov-23,21-Apr-24,"8""","57""","68""","56""","52""","14""","0""","1,050.00","1,955.00","2,975.00","2,295.00",,,,,,,,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,Check gondola information.,27%,31%,10%,32%,
Devils Head,S-6330 Bluff Road,53561 Merrimac,Wisconsin,United States,995,500,495,,,,5,1,1,2,30,1 mi,260 ac,260 ac,Check terrain information.,110,"45""",25-Nov-23,13-Mar-24,"0.2""","11""","10""","10""","5""","0""",,0,449,499,449,-,35,45,35,-,55,65,https://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,,,,,,
Diamond Peak,1210 Ski Way,89451 Incline Village,Nevada,United States,8540,1840,6700,,1,,2,,3,1,30,2.1 mi,655 ac,492 ac,Check terrain information.,128,"300""",3-Dec-22,1-May-23,"0.8""","44""","55""","49""","56""","4""","0""",234,419,499,439,44,89,109,89,54,104,124,https://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,,,,,,
Discovery,PO Box 221,59711 Anaconda,Montana,United States,8150,2380,5770,,,,,5,2,1,74,1.5 mi,2400 ac,25 ac,Check terrain information.,116,"225""",17-Nov-23,7-Apr-24,"4""","24""","28""","36""","36""","5""","0""",249,469,469,0,26,49,38,0,26,49,38,https://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,,,,,,
Dodge Ridge,P.O. Box 1188,95364 Pinecrest,California,United States,8200,1600,6600,,,,1,3,3,3,71,2 mi,862 ac,,Check terrain information.,N.A.,"350""",11-Nov-22,7-May-23,"10""","52""","65""","46""","68""","3""","1""",199,499,499,399,28,59,78,62,28,59,78,https://www.onthesnow.com/california/dodge-ridge/ski-resort.html,,,,,,
Donner Ski Ranch,P.O. Box 66,95724 Norden,California,United States,8012,750,7031,,,,,1,5,2,52,1.5 mi,505 ac,60 ac,,163,"400""",12-Nov-22,28-May-23,"0.5""","28""","26""","28""","30""","0.5""","0""",299,449,499,449,59,89,89,89,59,89,89,https://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,,31%,38%,21%,10%,
Dry Hill,P.O. Box 202,13601 Watertown,New York,United States,950,300,650,,,,,,1,2,7,0.2 mi,35 ac,26 ac,Check terrain information.,N.A.,"125""",24-Nov-23,7-Apr-24,"0""","11""","19""","22""","6""","0.1""",,0,335,150,30,35,15,,,,,,https://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,,33%,34%,33%,,
Eagle Point,150 S West Village Circle,84713 Beaver,Utah,United States,10600,1500,9100,,,,1,1,2,1,40,0.9 mi,650 ac,,Check terrain information.,N.A.,"400""",9-Dec-23,2-Apr-24,"12""","46""","47""","44""","47""","3""","0""",299,449,599,429,0,32,39,32,0,45,65,https://www.onthesnow.com/utah/eagle-point/ski-resort.html,,,,,,
Eagle Rock,1060 Valley of Lakes,18202 Hazelton,Pennsylvania,United States,1810,550,1260,,,,,,3,,14,1 mi,,,Check terrain information.,N.A.,"0""",1-Jan-24,10-Mar-24,"0""","2""","3""","4""","0.3""",,,299,449,599,429,,,,,,,,https://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html,Check gondola information.,50%,7%,43%,,
Eaglecrest,155 South Seward St.,99801 Juneau,Alaska,United States,2600,1540,1200,,,,,,4,,37,2 mi,640 ac,60 ac,Check terrain information.,45,"350""",3-Dec-23,9-Apr-24,"5""","47""","43""","39""","34""","4""","0""",224,405,796,686,28,37,47,42,29,43,53,https://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,Check gondola information.,32%,38%,30%,,
Eldora Mountain,P.O.  Box 1697,80466 Nederland,Colorado,United States,10600,1400,9200,,,1,2,1,3,3,61,3 mi,680 ac,680 ac,,147,"311""",17-Nov-23,14-Apr-24,"15""","42""","39""","47""","40""","17""","0""",329,539,719,19,79,99,79,19,79,99,79,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html,,18%,48%,18%,16%,
Elk Mountain Ski,344 Elk Mountain Road,18470 Union Dale,Pennsylvania,United States,2693,1000,1693,,,,1,,5,1,27,0.7 mi,180 ac,146 ac,Check terrain information.,N.A.,"60""",15-Dec-23,19-Mar-24,"0""","9""","11""","10""","9""","0.1""",,760,825,925,825,42,55,42,50,69,50,,https://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html,,22%,37%,41%,,
