ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
White Pass,P.O. Box 3030,98937 White Pass,Washington,United States,6550,2050,4500,,2,,1,1,2,2,45,2.5 mi,1402 ac,30 ac,Check terrain information.,148,"400""",1-Dec-23,28-Apr-24,"5""","62""","72""","78""","57""","30""","0.1""",25,539,859,25,5,49,69,5,5,49,69,https://www.onthesnow.com/washington/white-pass/ski-resort.html,,,,,,
White Pine,P.O. Box 1420,82941 Pinedale,Wyoming,United States,9500,1100,8400,,,,,2,,,29,0.4 mi,370 ac,,Check terrain information.,N.A.,"150""",1-Dec-23,24-Mar-24,"0.5""","22""","17""","19""","14""","0.2""","0""",350,420,485,420,6,36,49,36,6,28,38,https://www.onthesnow.com/wyoming/white-pine-ski-area/ski-resort.html,Check gondola information.,,,,,
Whitecap Mountain,9106 W County Road E,54565 Upson,Wisconsin,United States,1750,400,1295,,,,,1,4,,43,1 mi,400 ac,150 ac,,105,"200""",17-Dec-23,26-Mar-24,"2""","14""","28""","30""","9""","0""",,210,300,385,275,30,45,60,45,30,45,60,https://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html,Check gondola information.,33%,28%,28%,12%,
Whiteface Mountain,Whiteface Mountain Route 86,12997 Wilmington,New York,United States,4650,3430,1220,1,1,,3,1,3,2,94,2.1 mi,299 ac,220 ac,Check terrain information.,126,"168""",24-Nov-23,16-Apr-24,"9""","32""","36""","39""","36""","6""","0""",319,419,809,249,70,90,115,90,70,90,115,https://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html,,23%,46%,31%,,
Whitefish Mountain,P.O. Box 1400,59937 Whitefish,Montana,United States,6817,2353,4464,,3,,2,6,,3,113,3.3 mi,3000 ac,600 ac,Check terrain information.,123,"333""",9-Dec-23,7-Apr-24,"2""","62""","57""","55""","46""","8""","0""",569,799,"1,399.00","1,179.00",42,72,83,72,42,72,83,https://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html,,,,,,
Whitetail,13805 Blairs Valley Rd.,17236 Mercersburg,Pennsylvania,United States,1800,935,865,,1,,3,,2,2,23,1 mi,120 ac,120 ac,,116,"40""",26-Dec-23,3-Mar-24,"0""","5""","12""","7""","3""",,,439,859,0,61,69,0,79,71,,,,https://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html,,29%,52%,10%,10%,
Wild Mountain Ski Snowboard Area,P.O. Box 235,55084 Taylors Falls,Minnesota,United States,1113,300,813,,,,4,,,4,26,0.9 mi,100 ac,100 ac,,N.A.,"0""",18-Oct-23,1-Apr-24,"6""","14""","10""","13""","6""","3""","0""",20,339,439,0,43,56,49,0,43,56,49,https://www.onthesnow.com/minnesota/wild-mountain-ski-snowboard-area/ski-resort.html,,31%,35%,31%,4%,
Wildcat Mountain,P.O. Box R,03846 Jackson,New Hampshire,United States,4062,2112,1950,,1,,,3,,1,48,2.8 mi,225 ac,200 ac,Check terrain information.,156,"200""",24-Nov-22,16-Apr-23,"9""","32""","30""","39""","32""","8""","0""",439,859,59,79,59,67,89,67,,,,https://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html,,21%,46%,33%,,
Willamette Pass,PO Box 5550,97405 Eugene,Oregon,United States,6683,1563,5120,,,1,,3,,1,29,2.1 mi,555 ac,60 ac,,N.A.,"430""",2-Dec-22,14-May-23,"1""","25""","34""","35""","35""","3""","0.2""",299,399,549,0,0,0,0,0,,,,https://www.onthesnow.com/oregon/willamette-pass/ski-resort.html,,21%,45%,10%,24%,
Willard Mountain,PO Box 65,12834 Greenwich,New York,United States,1415,505,910,,,,,,2,3,16,0.4 mi,50 ac,35 ac,Check terrain information.,85,"80""",16-Dec-23,7-Apr-24,"0""","4""","5""","11""","7""",,,438,481,516,259,42,46,42,46,,,,https://www.onthesnow.com/new-york/willard-mountain/ski-resort.html,,,,,,
