,count,mean,std,min,25%,50%,75%,max,ski_resort
0,28.0,186.07142857142858,46.983786463802495,95.0,160.0,180.0,204.75,295.0,Magic Mountain
1,28.0,121.64285714285714,46.18338188033399,55.0,86.75,115.0,139.75,233.0,49 Degrees North
2,26.0,147.03846153846155,68.30665019995097,43.0,107.5,158.5,174.75,349.0,Afton Alps
3,28.0,178.14285714285714,87.39298822865821,65.0,107.5,165.5,233.5,466.0,Alpental
4,28.0,145.92857142857142,72.6651011918165,64.0,95.75,130.0,165.0,399.0,Alpine Valley Ohio
5,25.0,128.32,64.72294801691282,50.0,90.0,104.0,156.0,325.0,Alpine Valley Wisconsin
6,18.0,249.16666666666666,337.8212632182186,70.0,85.0,129.5,239.25,1500.0,Alta
7,28.0,167.57142857142858,92.91151847080245,66.0,98.25,133.5,229.25,409.0,Alyeska
8,28.0,205.0,96.13378024245019,90.0,141.0,169.0,263.0,440.0,Andes Tower Hills
9,24.0,95.04166666666667,15.53251615067612,69.0,88.0,95.0,103.75,125.0,Angel Fire
10,27.0,144.5185185185185,60.59536055505999,69.0,100.0,145.0,164.5,357.0,Anthony Lakes
11,22.0,158.45454545454547,36.29079284090725,95.0,132.5,161.0,186.5,220.0,Appalachian Ski Mountain
12,26.0,104.5,44.75734576580698,45.0,76.0,94.5,117.5,249.0,Apple Mountain
13,16.0,105.5625,28.10449252343831,75.0,81.0,98.5,120.75,183.0,Arapahoe Basin
14,13.0,121.84615384615384,33.07024380982133,70.0,99.0,120.0,145.0,179.0,Arizona Snowbowl
15,17.0,225.64705882352942,67.80389109084244,115.0,171.0,225.0,290.0,327.0,Aspen Snowmass
16,24.0,124.58333333333333,36.08434161994545,75.0,103.75,115.0,143.75,249.0,Attitash
17,28.0,121.53571428571429,57.01103346290029,39.0,88.0,107.5,137.5,295.0,Bear Creek Mountain
18,9.0,125.88888888888889,46.75319359264254,69.0,99.0,119.0,165.0,213.0,Bear Mountain
19,25.0,174.0,69.31690510498383,87.0,116.0,165.0,200.0,302.0,Bear Valley
20,16.0,127.625,40.845848422248906,70.0,96.25,128.0,155.5,210.0,Beaver Creek
21,24.0,76.45833333333333,26.56899004260527,27.0,64.75,77.0,88.25,144.0,Beaver Mountain
22,24.0,120.75,45.16082373030855,58.0,85.25,104.0,159.25,220.0,Ski Beech Mountain
23,25.0,178.88,69.20279377790081,87.0,127.0,165.0,225.0,350.0,Belleayre
24,28.0,199.07142857142858,145.71177246509848,69.0,126.75,150.0,224.25,800.0,Berkshire East
25,24.0,226.29166666666666,105.52208883396906,65.0,161.5,206.5,248.75,546.0,Big Bear
26,13.0,139.92307692307693,46.201481827717636,72.0,89.0,158.0,170.0,205.0,Big Boulder
27,28.0,117.57142857142857,49.604680612058566,66.0,84.75,104.5,128.0,258.0,Big Powderhorn Mountain
28,18.0,128.44444444444446,70.8247399631631,63.0,90.5,102.5,139.0,368.0,Big Sky
29,28.0,153.92857142857142,51.40105819016553,70.0,110.0,150.0,196.25,237.0,Big Squaw
30,28.0,122.53571428571429,70.1508861340812,59.0,82.0,95.0,141.5,375.0,Bittersweet
31,27.0,168.25925925925927,110.79488761900129,65.0,95.5,140.0,175.0,500.0,Blandford
32,27.0,109.4074074074074,49.29835327196676,60.0,74.5,98.0,129.5,240.0,Black Mountain
33,22.0,195.27272727272728,122.80808947226092,68.0,136.25,165.0,211.5,550.0,Blacktail Mountain
34,26.0,163.1153846153846,122.47002144952107,73.0,99.25,140.0,173.25,700.0,Blue Hills
35,24.0,169.29166666666666,126.36024387394977,72.0,86.5,127.5,187.75,550.0,Blue Knob
36,25.0,167.8,124.71634482563489,40.0,79.0,109.0,225.0,419.0,Blue Mountain
37,28.0,187.75,132.90309056407034,84.0,129.5,152.5,204.25,800.0,Bluewood
38,19.0,99.94736842105263,29.07934296256542,61.0,78.0,98.0,117.5,169.0,Bogus Basin
39,21.0,194.61904761904762,105.37574492760476,89.0,125.0,150.0,250.0,450.0,Bolton Valley
40,16.0,132.375,53.81929641556704,79.0,89.5,120.0,156.5,226.0,Boreal
41,23.0,156.47826086956522,86.2137246852882,44.0,99.5,121.0,193.5,375.0,Boston Mills and Brandywine
42,27.0,148.8148148148148,61.37842081147527,68.0,105.5,137.0,181.5,299.0,Bousquet
43,26.0,153.07692307692307,64.52281647722646,75.0,99.25,133.5,208.5,310.0,Boyne Mountain
44,23.0,157.7391304347826,77.4897162627546,63.0,108.0,139.0,183.0,358.0,Bradford
45,28.0,157.96428571428572,64.75279610313831,96.0,113.25,133.0,181.25,350.0,Brantling Ski
46,9.0,88.88888888888889,16.699135040807086,61.0,78.0,92.0,95.0,113.0,Breckenridge
47,28.0,164.89285714285714,74.80707992128289,79.0,107.5,144.0,194.25,366.0,Bretton Woods
48,18.0,68.66666666666667,26.537431942779374,39.0,47.5,60.5,87.25,129.0,Brian Head
49,18.0,142.27777777777777,42.35675591026572,90.0,125.25,137.5,147.5,269.0,Bridger Bowl
50,24.0,198.91666666666666,80.51136385719055,84.0,136.0,185.0,265.25,357.0,Brighton
51,26.0,185.1153846153846,84.79166323316316,65.0,128.75,157.5,225.0,385.0,Bristol Mountain
52,28.0,188.32142857142858,57.06854460268619,67.0,145.0,187.0,230.25,329.0,Bromley Mountain
53,28.0,163.64285714285714,140.72174126839275,65.0,90.25,102.5,178.75,635.0,Bruce Mound
54,20.0,131.75,42.17366976032121,77.0,103.5,121.0,154.25,255.0,Brundage Mountain
55,19.0,136.68421052631578,48.050959791060414,62.0,104.0,111.0,165.0,250.0,Bryce
56,25.0,116.92,69.03375985704386,45.0,76.0,95.0,124.0,285.0,Buck Hill
57,27.0,150.33333333333334,85.47874229663995,52.0,89.0,139.0,175.0,390.0,Buena Vista
58,27.0,157.66666666666666,164.48380794753956,65.0,106.5,125.0,150.0,959.0,Buffalo Ski Club
59,28.0,153.10714285714286,73.11905020338752,48.0,100.25,137.0,198.25,341.0,Burke Mountain
60,27.0,133.14814814814815,54.95781858263502,60.0,91.0,125.0,152.5,295.0,Caberfae Peaks Ski Golf
61,28.0,175.25,80.62470212405496,74.0,114.5,144.0,226.0,345.0,Camden
62,12.0,190.16666666666666,205.59750322738196,64.0,114.25,141.0,163.25,833.0,Camelback Mountain
63,26.0,170.46153846153845,105.92043457963369,47.0,114.25,156.0,190.75,499.0,Campgaw Mountain
64,26.0,113.96153846153847,41.60623104221845,46.0,89.25,105.0,114.25,235.0,Canaan Valley
65,22.0,138.9090909090909,65.74475107848758,74.0,91.75,122.0,169.75,295.0,Cannon Mountain
66,22.0,112.45454545454545,58.90163492979289,60.0,80.0,93.5,121.5,315.0,Cannonsburg
67,28.0,194.75,183.5898458016714,42.0,118.5,159.0,202.0,1000.0,Cascade Mountain
68,25.0,117.56,34.22119226444339,68.0,98.0,111.0,122.0,217.0,Cataloochee
69,27.0,191.8148148148148,114.77537830208823,68.0,122.5,171.0,222.0,630.0,Catamount Ski Ride Area
70,24.0,170.0,68.95367064668983,73.0,119.5,172.5,199.0,315.0,Chestnut Mountain
71,23.0,212.2608695652174,121.95759970777637,119.0,136.0,172.0,250.0,650.0,Ski China Peak
72,28.0,151.28571428571428,51.053970820181426,15.0,125.0,133.0,199.25,237.0,Christie Mountain
73,26.0,129.03846153846155,50.827142960611724,73.0,90.0,122.5,153.0,299.0,Christmas Mountain
74,28.0,187.75,94.56513530268339,65.0,125.0,172.5,199.25,495.0,Coffee ll
75,17.0,90.11764705882354,33.30893715082556,43.0,59.0,90.0,115.0,150.0,Ski Cooper
76,22.0,128.36363636363637,59.87251969575537,68.0,90.25,106.0,152.5,299.0,Cooper Spur
77,17.0,79.6470588235294,29.17392066656149,54.0,59.0,71.0,95.0,171.0,Copper Mountain
78,20.0,119.4,56.44503614369609,65.0,83.75,106.0,142.0,300.0,Cranmore Mountain
79,23.0,111.1304347826087,54.12553115240205,57.0,86.0,93.0,119.0,294.0,Crested Butte Mountain
80,26.0,128.3846153846154,47.1483420052726,59.0,98.25,126.0,152.25,240.0,Crotched Mountain
81,23.0,173.6086956521739,73.08322723283914,58.0,117.0,153.0,229.5,324.0,Crystal Mountain
82,20.0,180.35,58.90873851716917,104.0,136.5,173.0,209.25,300.0,Crystal Mountain 
83,26.0,156.57692307692307,79.18847041175783,85.0,102.75,130.0,192.5,450.0,Dartmouth Skiway
84,28.0,129.60714285714286,66.47435555979423,40.0,90.5,117.0,155.25,377.0,Ski Mystic at Deer Mountain
85,13.0,83.53846153846153,32.466945715643845,37.0,60.0,70.0,99.0,149.0,Deer Valley
86,27.0,114.44444444444444,38.11352811851752,59.0,87.5,105.0,136.0,199.0,Devils Head
87,16.0,188.4375,91.21108759355958,87.0,141.75,174.0,213.25,457.0,Diamond Peak
88,28.0,162.57142857142858,90.63579072776142,35.0,102.25,135.0,192.5,425.0,Discovery
89,25.0,154.56,57.12492159002642,70.0,109.0,137.0,179.0,275.0,Dodge Ridge
90,21.0,178.76190476190476,59.13197507432401,100.0,136.0,158.0,220.0,320.0,Donner Ski Ranch
91,28.0,132.0,61.28802674439945,50.0,99.75,120.0,151.0,360.0,Dry Hill
92,28.0,172.39285714285714,118.65959382346296,46.0,95.0,117.0,193.75,491.0,Eagle Point
93,28.0,102.32142857142857,70.23666530694032,20.0,67.75,79.0,100.75,330.0,Eagle Rock
94,24.0,222.25,53.34730342396601,147.0,198.25,207.0,242.0,400.0,Eaglecrest
95,28.0,175.28571428571428,68.26140232678382,85.0,129.25,158.0,197.5,349.0,Eldora Mountain
96,27.0,203.55555555555554,142.31744942295873,99.0,132.0,173.0,216.0,850.0,Elk Mountain Ski
97,28.0,155.60714285714286,90.92908888991029,14.0,89.0,130.0,226.5,365.0,Elko SnoBowl
98,22.0,131.27272727272728,144.38644634260478,47.0,57.0,85.5,165.0,725.0,Elm Creek
99,28.0,167.85714285714286,56.19194240755868,70.0,137.25,160.0,186.0,304.0,Enchanted Forest
100,28.0,157.10714285714286,63.460888675895426,50.0,101.5,157.5,210.25,256.0,Four Lakes
101,23.0,161.1304347826087,76.37723622545356,50.0,109.0,136.0,211.5,350.0,Giants Ridge
102,26.0,161.0,50.688065656523136,80.0,122.5,155.5,185.75,289.0,Gore Mountain
103,19.0,109.3157894736842,45.856118738190155,56.0,81.0,100.0,116.0,245.0,Granby Ranch
104,25.0,183.04,65.0426014239898,86.0,146.0,173.0,200.0,378.0,Grand Geneva
105,15.0,160.53333333333333,75.91524095676579,95.0,126.5,130.0,160.0,361.0,Grand Targhee
106,28.0,113.75,48.50171818262387,40.0,83.0,104.0,130.25,240.0,Granite Peak
107,24.0,148.83333333333334,128.71730624720294,50.0,85.0,110.5,159.25,660.0,Great Divide
108,28.0,141.96428571428572,60.373824437819714,47.0,98.75,147.5,175.75,299.0,Greek Peak
109,24.0,137.41666666666666,84.0392851544762,80.0,87.0,119.5,143.25,499.0,Gunstock
110,24.0,161.33333333333334,78.55359104882899,62.0,122.25,149.5,188.0,403.0,Heavenly Mountain
111,25.0,120.92,54.603815495500555,33.0,89.0,105.0,154.0,221.0,Hidden Valley
112,21.0,115.38095238095238,32.23426157130979,45.0,101.0,119.0,125.0,181.0,Hilltop
113,28.0,129.60714285714286,71.86785161139922,43.0,85.0,125.5,149.0,375.0,Hogadon
114,26.0,141.34615384615384,68.73889280905959,50.0,100.0,125.0,180.0,312.0,Holiday Mountain
115,19.0,120.89473684210526,37.224386774804415,67.0,91.0,118.0,137.5,205.0,Holiday Valley
116,20.0,118.7,37.5374900318966,67.0,89.0,115.5,134.75,205.0,Holimont
117,28.0,159.60714285714286,59.323556801108886,74.0,116.75,158.0,179.5,350.0,Hoodoo
118,16.0,91.875,25.961188981503398,55.0,75.5,82.5,112.0,139.0,Howelsen Hill
119,28.0,165.57142857142858,66.26066850308855,65.0,113.75,149.0,225.0,289.0,Hunt Hollow
120,15.0,139.6,70.29407615764747,70.0,91.0,135.0,166.0,350.0,Hunter Mountain
121,22.0,96.4090909090909,26.819784969325646,45.0,71.5,103.0,112.0,150.0,Hyland Ski Snowboard Area
122,20.0,123.55,54.50106227839677,65.0,80.5,98.5,151.25,243.0,Jay Peak
123,28.0,189.85714285714286,82.93849317894346,68.0,136.0,175.0,211.0,450.0,Jiminy Peak
124,13.0,127.92307692307692,48.91397472171857,72.0,85.0,129.0,170.0,205.0,Jack Frost
125,28.0,124.89285714285714,51.5086035860636,72.0,88.0,104.5,156.5,250.0,Snowriver Mountain Resort
126,27.0,200.55555555555554,94.81574574418346,55.0,130.5,196.0,244.0,469.0,Jackson Hole
127,20.0,275.5,120.5363015858708,93.0,225.75,263.0,298.0,554.0,June Mountain
128,25.0,118.16,98.67103593929343,34.0,66.0,94.0,150.0,536.0,Kelly Canyon
129,17.0,81.58823529411765,33.87303282762228,47.0,57.0,83.0,89.0,195.0,Keystone
130,26.0,97.5,26.345777650318087,65.0,82.0,93.0,100.0,196.0,Killington
131,26.0,159.23076923076923,64.59430791783913,65.0,107.5,165.0,191.0,325.0,King Pine
132,19.0,232.78947368421052,119.76856337090223,94.0,138.5,219.0,292.5,485.0,Kirkwood
133,28.0,118.42857142857143,62.62730949178556,38.0,68.5,109.5,144.0,299.0,Kissing Bridge
134,28.0,123.10714285714286,54.887318433930844,44.0,80.0,123.0,161.75,255.0,Labrador Mt.
135,11.0,83.72727272727273,20.962303828973134,57.0,69.5,77.0,95.5,120.0,Lee Canyon
136,28.0,164.42857142857142,83.85721045939786,50.0,101.5,132.0,213.75,315.0,Liberty
137,24.0,192.45833333333334,113.18049423536866,80.0,120.0,156.0,215.0,550.0,Little Switzerland
138,28.0,147.25,87.81741369539499,59.0,89.25,113.5,162.5,375.0,Lookout Pass
139,27.0,103.14814814814815,35.327809598871696,69.0,79.0,90.0,114.0,209.0,Loon Mountain
140,28.0,167.53571428571428,67.5472301939784,94.0,127.25,152.5,174.25,400.0,Lost Trail Powder Mountain
141,28.0,153.32142857142858,83.62706170693461,49.0,99.75,132.5,186.25,413.0,Lost Valley
142,24.0,136.625,49.34423229587796,65.0,103.5,122.5,159.25,299.0,Loveland
