,count,mean,std,min,25%,50%,75%,max,ski_resort
296,33.0,176.72727272727272,147.44623442277035,82.0,100.0,135.0,195.0,900.0,Tussey Mountain
297,35.0,145.77142857142857,61.72952659612345,79.0,105.0,134.0,168.5,350.0,Tyrol Basin
298,35.0,342.8857142857143,149.35937147946055,161.0,217.5,307.0,409.5,717.0,Vail
299,35.0,156.57142857142858,107.23648570121189,52.0,101.5,118.0,180.0,600.0,Villa Olivia
300,35.0,232.14285714285714,139.97523790617666,89.0,129.5,168.0,312.0,677.0,Waterville Valley
301,35.0,132.0,37.3260672200762,67.0,104.0,122.0,154.5,240.0,Welch Village
302,33.0,165.66666666666666,67.28793849321487,60.0,122.0,159.0,227.0,301.0,West Mountain
303,35.0,141.17142857142858,57.4806799840483,50.0,95.5,123.0,183.5,246.0,Whalebk
304,34.0,223.8235294117647,74.6253148161413,131.0,173.25,203.0,263.0,451.0,White Pass
305,35.0,184.31428571428572,100.53614258756178,83.0,112.5,150.0,240.5,427.0,White Pine
306,35.0,209.34285714285716,132.19347293158725,75.0,115.5,155.0,245.0,520.0,Whitecap Mountain
307,35.0,125.6,41.32311701699184,62.0,91.5,123.0,151.0,226.0,Whiteface Mountain
308,35.0,227.34285714285716,115.95104008795691,95.0,138.5,191.0,285.0,600.0,Whitefish Mountain
309,33.0,198.21212121212122,90.92296106311566,78.0,126.0,200.0,254.0,495.0,Whitetail
310,35.0,184.28571428571428,84.2337683538641,75.0,122.5,172.0,231.0,450.0,Whusett
311,34.0,201.2941176470588,92.3489854620208,97.0,140.25,180.5,239.75,539.0,Wild Mountain Ski Snowboard Area
312,35.0,115.05714285714286,35.817300171797406,59.0,95.0,100.0,127.5,257.0,Wildcat Mountain
313,35.0,133.05714285714285,51.71127016603705,66.0,89.5,120.0,160.5,260.0,Willamette Pass
314,32.0,254.125,237.61839154408904,68.0,106.75,168.5,275.0,995.0,Willard Mountain
315,33.0,188.0909090909091,88.52696045427476,85.0,142.0,175.0,207.0,487.0,Wilmot Mountain
316,32.0,354.21875,250.61598105403698,158.0,217.75,305.0,394.75,1555.0,Windham Mountain
317,35.0,217.4,95.37640601076039,83.0,143.5,223.0,258.5,475.0,Winter Park
318,34.0,158.52941176470588,41.98934590274614,111.0,126.75,150.0,178.0,298.0,Wintergreen
319,30.0,242.7,216.87707466959566,81.0,99.25,161.0,280.75,920.0,Winterplace Ski
320,33.0,267.6363636363636,128.67104816688033,99.0,200.0,240.0,313.0,782.0,Wisp
321,35.0,155.97142857142856,60.782391855403866,68.0,114.5,140.0,174.5,300.0,Wolf Creek
322,35.0,156.25714285714287,63.93946717157467,59.0,113.5,147.0,197.5,296.0,Wolf Ridge Ski
323,35.0,212.8,98.06444459699777,120.0,140.0,176.0,239.5,500.0,Woodbury
324,35.0,159.31428571428572,102.62976618682819,42.0,111.0,135.0,187.0,672.0,Woods Valley
325,35.0,188.65714285714284,78.34949711056856,86.0,146.0,175.0,226.0,420.0,Yawgoo Valley
326,35.0,205.6,103.6510548738921,71.0,139.5,181.0,260.0,507.0,Badger Pass
327,35.0,157.77142857142857,51.97402389332449,87.0,115.0,155.0,188.0,339.0,Mt. Bachelor
328,35.0,206.34285714285716,113.90474422210218,80.0,130.5,183.0,242.5,652.0,Mt. Bohemia
329,34.0,169.3235294117647,64.88531635181312,70.0,132.5,155.5,205.75,348.0,Shawnee Mountain
330,35.0,181.02857142857144,85.27791442733358,75.0,117.5,151.0,231.0,450.0,Wachusett Mountain
